platform_id,monitoring_point_id,distance_km,reachable
P001,J001,8.153748798365015,1
P001,J002,7.824770482287069,1
P001,J003,12.156826882436308,1
P001,J004,4.761185854907252,1
P001,J005,5.834304853827477,1
P001,J006,6.09609863831564,1
P001,J007,8.957074941134664,1
P001,J008,13.084636931442542,1
P001,J009,2.563760818068263,1
P001,J010,5.646927514218797,1
P001,J011,8.17065655858015,1
P001,J012,4.5303415812851,1
P001,J013,7.645134639881594,1
P001,J014,4.694491881601012,1
P001,J015,5.284743795336785,1
P001,J016,7.895307784681938,1
P002,J001,10.630176115601548,1
P002,J002,11.216978055869374,1
P002,J003,4.150812288162574,1
P002,J004,11.714196431720463,1
P002,J005,1.9351548256670623,1
P002,J006,9.312586154987144,1
P002,J007,1.9925968147487256,1
P002,J008,5.811016294916036,1
P002,J009,5.0795078499785,1
P002,J010,11.8748412370019,1
P002,J011,10.741375293715496,1
P002,J012,2.4826059725233427,1
P002,J013,10.528740361736313,1
P002,J014,2.484417750029093,1
P002,J015,1.819171426975845,1
P002,J016,2.74427347690291,1
P003,J001,13.403154040526278,1
P003,J002,13.3032918447875,1
P003,J003,8.484597121118382,1
P003,J004,7.365565994041968,1
P003,J005,5.151115573167159,1
P003,J006,10.766851272835408,1
P003,J007,7.111636069261593,1
P003,J008,13.519807614267505,1
P003,J009,3.7690920518109734,1
P003,J010,8.076619401387102,1
P003,J011,13.463773949769788,1
P003,J012,3.16964115845876,1
P003,J013,12.854350253823856,1
P003,J014,2.956586521393081,1
P003,J015,4.259506457141537,1
P003,J016,7.313640135952035,1
P004,J001,6.162013725167189,1
P004,J002,6.75415589165868,1
P004,J003,3.2390383452737375,1
P004,J004,8.20466452926701,1
P004,J005,1.5032262384211306,1
P004,J006,5.041002632011335,1
P004,J007,4.634700085035689,1
P004,J008,4.665560553320906,1
P004,J009,5.378619498126903,1
P004,J010,8.005448885604379,1
P004,J011,6.271704429219177,1
P004,J012,3.3778528308165923,1
P004,J013,6.060011524839535,1
P004,J014,3.8287550336873806,1
P004,J015,2.397714914444706,1
P004,J016,1.756327722778399,1
P005,J001,6.782133436270463,1
P005,J002,7.267571385807564,1
P005,J003,4.023939766237704,1
P005,J004,8.104539839353185,1
P005,J005,0.9871277635239144,1
P005,J006,5.323944103639592,1
P005,J007,4.490671047181015,1
P005,J008,5.5517760449812705,1
P005,J009,4.728872131457486,1
P005,J010,8.057812843414666,1
P005,J011,6.885578577279532,1
P005,J012,2.7523404981418533,1
P005,J013,6.595901149291436,1
P005,J014,3.2125785400895026,1
P005,J015,1.806180847441954,1
P005,J016,2.0735974643004886,1
P006,J001,12.607438048367548,1
P006,J002,12.716627618596071,1
P006,J003,7.193221079874221,1
P006,J004,7.666165169174244,1
P006,J005,3.859918325467653,1
P006,J006,10.252900427469086,1
P006,J007,5.405809420567169,1
P006,J008,11.95177618296545,1
P006,J009,3.7938846944464784,1
P006,J010,8.209306758256794,1
P006,J011,12.685925896495371,1
P006,J012,1.8523838582055738,1
P006,J013,12.174638291629668,1
P006,J014,1.4603191031153577,1
P006,J015,2.913009262786696,1
P006,J016,5.920246434554455,1
P007,J001,11.016101325158017,1
P007,J002,11.230077897270432,1
P007,J003,5.858033433401591,1
P007,J004,9.936435470577528,1
P007,J005,2.5263394260859573,1
P007,J006,8.849596686558721,1
P007,J007,4.488793434172218,1
P007,J008,10.098729777373842,1
P007,J009,3.2778723759615924,1
P007,J010,10.507435461198764,1
P007,J011,11.10236715290847,1
P007,J012,0.5628315129419107,1
P007,J013,10.646340824340403,1
P007,J014,0.15489908161932545,1
P007,J015,1.5781252447195233,1
P007,J016,4.595126646879028,1
