zone_id,source_name,vertex_order,lon,lat,x_m,y_m
NFZ1,禁飞区1,1,121.64090174427,30.0499800418697,1345.0584517418556,8720.658824546164
NFZ1,禁飞区1,2,121.650016046854,30.0368914055947,2223.605369166339,7273.840970708007
NFZ1,禁飞区1,3,121.656959844128,30.0400975301723,2892.932685662026,7628.245981515745
NFZ1,禁飞区1,4,121.646821104825,30.0544111555139,1915.6381445689512,9210.474126776242
NFZ2,禁飞区2,1,121.639778338003,30.023112616144,1236.7709438618335,5750.733584827557
NFZ2,禁飞区2,2,121.642613630789,30.018334447581,1510.0708166912361,5222.554831873542
NFZ2,禁飞区2,3,121.652504183352,30.0223998185238,2463.4421126022485,5671.94093589073
NFZ2,禁飞区2,4,121.649388908131,30.0271942993487,2163.1541402528255,6201.9228462750125
NFZ3,禁飞区3,1,121.657362796459,29.9825499818585,2931.7741137369494,1266.9399909083745
NFZ3,禁飞区3,2,121.663439347435,29.9765891164341,3517.505723954453,608.0259268949412
NFZ3,禁飞区3,3,121.666612375983,29.979133017858,3823.3606617341197,889.2287902930603
NFZ3,禁飞区3,4,121.660789605306,29.9849818519576,3262.0914716895973,1535.758911662687
